| Этап | Действие                                            | Твоя задача                        | Моя роль            |
| ---- | --------------------------------------------------- | ---------------------------------- | ------------------- |
| 1️⃣  | Структура проекта + kind                            | Создать папки, `kind-cluster.yaml` | Проверяю структуру  |
| 📄   | **`README.md`: Описание проекта + запуск кластера** | Написать `README.md`               | Проверяю            |
| 2️⃣  | Flask-приложение + Dockerfile                       | Написать код и собрать образ       | Проверяю, направляю |
| 📄   | **`README.md`: сборка и загрузка Docker-образа**    | Обновить файл                      | Проверяю            |
| 3️⃣  | Terraform-провайдеры (`kubernetes`, `helm`)         | Написать `provider.tf`             | Проверяю            |
| 📄   | **`README.md`: инициализация Terraform**            | Обновить файл                      | Проверяю            |
| 4️⃣  | Prometheus через Helm (`helm_release`)              | Написать `prometheus.tf`           | Проверяю            |
| 📄   | **`README.md`: установка Prometheus**               | Обновить файл                      | Проверяю            |
| ...  | и так далее по шагам                                |                                    |                     |
